zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL,Listing Agent Email,Listing Agent Phone,Hoa Fees,Most Rencent Tax Assessed Value,Parking Capacity,Heating,Cooling,Stories,Year Built,Property Taxes,Parcel Number,Property Type,Property subtype,Description,Home Insights
401875748,FOR_RENT,Apartment for rent,47 days,875,,,,,,,,1,1,"341-351 W. 21st Street, 341-351 W 21st St #1B-1BA, Merced, CA 95340",341-351 W 21st St #1B-1BA,Merced,CA,95340,37.309574,-120.49236,,false,,,https://photos.zillowstatic.com/fp/6022abe661cbae26a1ee1161ff1d2daa-p_e.jpg,https://www.zillow.com/b/341-351-w.-21st-street-merced-ca-BNDccS/,https://www.zillow.com/merced-ca-95340/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22mapZoom%22%3A12%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymenta%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A1%2C%22max%22%3A1%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
441884635,FOR_RENT,Apartment for rent,52 days,1000,,,,,,,,1,1,"1932 K St, Merced, 1932 K St, Merced, CA 95340",1932 K St #0,Merced,CA,95340,37.303394,-120.480064,,false,,,https://photos.zillowstatic.com/fp/2a8fc188556c587a157b0d02a0146168-p_e.jpg,https://www.zillow.com/b/1932-k-st-merced-merced-ca-ChKmxw/,https://www.zillow.com/merced-ca-95340/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22mapZoom%22%3A12%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymenta%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A1%2C%22max%22%3A1%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
441884637,FOR_RENT,Apartment for rent,52 days,1000,700,1,,,,,,1,1,"1926 K St, Merced, 1926 K St, Merced, CA 95340",1926 K St #0,Merced,CA,95340,37.303387,-120.48005,,false,,,https://photos.zillowstatic.com/fp/c461bbd96c4e13ec4122b0ac2e043e71-p_e.jpg,https://www.zillow.com/b/1926-k-st-merced-merced-ca-ChKmxn/,https://www.zillow.com/merced-ca-95340/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22mapZoom%22%3A12%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymenta%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A1%2C%22max%22%3A1%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
2082013622,FOR_RENT,Apartment for rent,28 days,1025,528,2,,,960,,,1,1,"137 W 19th St APT 8, Merced, CA 95340",137 W 19th St APT 8,Merced,CA,95340,37.30178,-120.47679,,false,,,https://photos.zillowstatic.com/fp/65a7ffbe07b8b58473a59b7130dc83d5-p_e.jpg,https://www.zillow.com/homedetails/137-W-19th-St-APT-8-Merced-CA-95340/2082013622_zpid/,https://www.zillow.com/merced-ca-95340/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22mapZoom%22%3A12%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymenta%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A1%2C%22max%22%3A1%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
299947155,FOR_RENT,House for rent,7 days,1050,650,2,354900,546,1166,,,1,1,"343 W 20th St, Merced, CA 95340",343 W 20th St,Merced,CA,95340,37.303963,-120.47943,,false,,,https://photos.zillowstatic.com/fp/19376946bc2be87bc822a07c32e52914-p_e.jpg,https://www.zillow.com/homedetails/343-W-20th-St-Merced-CA-95340/299947155_zpid/,https://www.zillow.com/merced-ca-95340/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22mapZoom%22%3A12%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymenta%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A1%2C%22max%22%3A1%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
2118524776,FOR_RENT,Apartment for rent,24 days,1050,700,2,,,1056,,,1,1,"W23rd 455, 455 W 23rd St APT D, Merced, CA 95340",455 W 23rd St APT D,Merced,CA,95340,37.307568,-120.47936,,false,,,https://photos.zillowstatic.com/fp/12ff0d05957ae03fe4b9b2bdcd29b5d3-p_e.jpg,https://www.zillow.com/b/w23rd-455-merced-ca-5XpJGZ/,https://www.zillow.com/merced-ca-95340/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22mapZoom%22%3A12%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymenta%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A1%2C%22max%22%3A1%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
19159852,FOR_RENT,House for rent,7 days,1100,554,2,520300,939,2373,,,1,1,"1011 Colorado Dr, Merced, CA 95340",1011 Colorado Dr,Merced,CA,95340,37.309288,-120.459114,,false,,,https://photos.zillowstatic.com/fp/0fca12d736278ebb877cf386c9a8b7b4-p_e.jpg,https://www.zillow.com/homedetails/1011-Colorado-Dr-Merced-CA-95340/19159852_zpid/,https://www.zillow.com/merced-ca-95340/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22mapZoom%22%3A12%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymenta%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A1%2C%22max%22%3A1%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
440051287,FOR_RENT,Apartment for rent,7 days,1100,800,1,,,,,,1,1,"320 W 20th St #1, Merced, CA 95340",320 W 20th St #1,Merced,CA,95340,37.30345,-120.47896,,false,,,https://photos.zillowstatic.com/fp/63211231c3b97d2e254a9566ad807596-p_e.jpg,https://www.zillow.com/homedetails/320-W-20th-St-1-Merced-CA-95340/440051287_zpid/,https://www.zillow.com/merced-ca-95340/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22mapZoom%22%3A12%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymenta%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A1%2C%22max%22%3A1%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
2071933735,FOR_RENT,House for rent,137 days,1150,900,1,222600,247,1155,,,1,1,"2324 Q St #A, Merced, CA 95340",2324 Q St #A,Merced,CA,95340,37.3105,-120.48693,,false,,,https://photos.zillowstatic.com/fp/7de2bb829b4740c0530014cddab39767-p_e.jpg,https://www.zillow.com/homedetails/2324-Q-St-A-Merced-CA-95340/2071933735_zpid/,https://www.zillow.com/merced-ca-95340/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22mapZoom%22%3A12%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymenta%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A1%2C%22max%22%3A1%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
2060572323,FOR_RENT,Apartment for rent,55 days,1150,,,,,1093,,,1,1,"423 W 21st St #6, Merced, CA 95340",423 W 21st St #6,Merced,CA,95340,37.305355,-120.47993,,false,,,https://photos.zillowstatic.com/fp/a7b7e0f9a1e063c6ba591ed4ce6429c1-p_e.jpg,https://www.zillow.com/homedetails/423-W-21st-St-6-Merced-CA-95340/2060572323_zpid/,https://www.zillow.com/merced-ca-95340/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22mapZoom%22%3A12%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22paymenta%22%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A1%2C%22max%22%3A1%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
