zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL,Listing Agent Email,Listing Agent Phone,Hoa Fees,Most Rencent Tax Assessed Value,Parking Capacity,Heating,Cooling,Stories,Year Built,Property Taxes,Parcel Number,Property Type,Property subtype,Description,Home Insights
97439482,FOR_SALE,House for sale,3 days,469000,2062,227,468100,227,2356,6000,sqft,3,2,"2457 Freestone Dr, Merced, CA 95340",2457 Freestone Dr,Merced,CA,95340,37.32656,-120.43542,Keller Williams Property Team,false,,,https://photos.zillowstatic.com/fp/14d925dd9955638a1a461c676e1a61af-p_e.jpg,https://www.zillow.com/homedetails/2457-Freestone-Dr-Merced-CA-95340/97439482_zpid/,https://www.zillow.com/merced-ca-95340/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
19158426,FOR_SALE,House for sale,146 days,440000,2072,212,438900,212,2300,6552,sqft,3,2,"1163 El Portal Dr, Merced, CA 95340",1163 El Portal Dr,Merced,CA,95340,37.325817,-120.456665,Realty Executives Of Northern California,false,,,https://photos.zillowstatic.com/fp/eeaf20e85fc030249f700e2157c4ed21-p_e.jpg,https://www.zillow.com/homedetails/1163-El-Portal-Dr-Merced-CA-95340/19158426_zpid/,https://www.zillow.com/merced-ca-95340/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
19172191,FOR_SALE,House for sale,25 days,414900,1596,260,413700,259,2282,8264,sqft,3,2,"2621 1st Ave, Merced, CA 95340",2621 1st Ave,Merced,CA,95340,37.307938,-120.47006,Dalton Real Estate,false,,,https://photos.zillowstatic.com/fp/a1cc31b27741b571d49c2985681ebda5-p_e.jpg,https://www.zillow.com/homedetails/2621-1st-Ave-Merced-CA-95340/19172191_zpid/,https://www.zillow.com/merced-ca-95340/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
97417973,FOR_SALE,House for sale,52 days,449000,1782,252,,,2341,6215,sqft,3,2,"3747 De Soto Way, Merced, CA 95340",3747 De Soto Way,Merced,CA,95340,37.328598,-120.43955,Tinetti Realty Group,false,,,https://photos.zillowstatic.com/fp/3d0e71aa9d3242e229389e3ac133f4bf-p_e.jpg,https://www.zillow.com/homedetails/3747-De-Soto-Way-Merced-CA-95340/97417973_zpid/,https://www.zillow.com/merced-ca-95340/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
19157227,FOR_SALE,House for sale,4 days,362000,1418,255,361600,255,2054,9036,sqft,3,2,"3337 El Capitan Ct, Merced, CA 95340",3337 El Capitan Ct,Merced,CA,95340,37.322945,-120.46441,BHGRE Everything Real Estate,false,,,https://photos.zillowstatic.com/fp/7a99a9b6badd5391d67a3bf8136055b8-p_e.jpg,https://www.zillow.com/homedetails/3337-El-Capitan-Ct-Merced-CA-95340/19157227_zpid/,https://www.zillow.com/merced-ca-95340/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
19158292,FOR_SALE,House for sale,24 days,429000,1450,296,,,2020,6082,sqft,3,2,"1030 E Donna Dr, Merced, CA 95340",1030 E Donna Dr,Merced,CA,95340,37.32828,-120.45976,Next Home D&G Realty Group,false,,,https://photos.zillowstatic.com/fp/52171513c35bbf5336e93b40c9838982-p_e.jpg,https://www.zillow.com/homedetails/1030-E-Donna-Dr-Merced-CA-95340/19158292_zpid/,https://www.zillow.com/merced-ca-95340/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
19159509,FOR_SALE,House for sale,6 days,299000,990,302,293400,296,1432,6961,sqft,3,1,"2916 Oleander Ave, Merced, CA 95340",2916 Oleander Ave,Merced,CA,95340,37.312668,-120.46113,,false,,,https://photos.zillowstatic.com/fp/a656b8d8d97cf92812742cdcd1439e03-p_e.jpg,https://www.zillow.com/homedetails/2916-Oleander-Ave-Merced-CA-95340/19159509_zpid/,https://www.zillow.com/merced-ca-95340/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
19157312,FOR_SALE,House for sale,3 days,359000,1417,253,354700,250,2041,7440.048,sqft,3,2,"3209 Erie Ave, Merced, CA 95340",3209 Erie Ave,Merced,CA,95340,37.320946,-120.464455,,false,,,https://photos.zillowstatic.com/fp/67d0f8e984b406927c0fe149f54a1044-p_e.jpg,https://www.zillow.com/homedetails/3209-Erie-Ave-Merced-CA-95340/19157312_zpid/,https://www.zillow.com/merced-ca-95340/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
19170010,FOR_SALE,House for sale,62 days,367000,1563,235,362500,232,1967,7488,sqft,3,2,"1251 W 22nd St, Merced, CA 95340",1251 W 22nd St,Merced,CA,95340,37.310993,-120.492,,false,,,https://photos.zillowstatic.com/fp/ba4c03a3fbe38d48569e7ea3537933d2-p_e.jpg,https://www.zillow.com/homedetails/1251-W-22nd-St-Merced-CA-95340/19170010_zpid/,https://www.zillow.com/merced-ca-95340/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
19159853,FOR_SALE,House for sale,24 days,599000,2290,262,593400,259,2254,0.3776400367309458,acres,3,3,"1049 Colorado Dr, Merced, CA 95340",1049 Colorado Dr,Merced,CA,95340,37.30927,-120.458626,Keller Williams Property Team,false,,,https://photos.zillowstatic.com/fp/9caa23d1c0bdc96b8be05eebc0b6361b-p_e.jpg,https://www.zillow.com/homedetails/1049-Colorado-Dr-Merced-CA-95340/19159853_zpid/,https://www.zillow.com/merced-ca-95340/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.44858701170459%2C%22south%22%3A37.28405065500537%2C%22east%22%3A-120.28223936938477%2C%22west%22%3A-120.54419463061524%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98121%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
